Main_Atlas_Number,Main_Display_Name,Investigations_Summary,Related_Investigations
92,"Wall Camp, Kynnersley, Shropshire (The Wall; Kinnersley Wall)","On 1st Ed OS map (1885-1900). Small excavation by T.C. Cantrill in 1919 through inner rampart found clay and rubble rampart faced with stone retaining slabs. Excavations by J.A. Pagett 1962-65 of the Wrekin Archaeological Group in 1962-65. Field observation Ordnance Survey 1976. Field observations English Heritage 1979, 1980, 1981, 1987. Limited excavation of interior by D. Bond and E.L. Morris, close to Wall Farm in the centre of the fort 1983. Shropshire Council survey 2012. Geophysical survey 2008, Arch. Services Durham (available on ADS Grey Lit library, OASIS archaeol3-45534). Environmental sampling adjacent to fort 2013.",Other (1976); Other (1981); Excavation (1983); Geophysical Survey (2008); Other (2012); 1st Identified Map Depiction (1885-1900); Excavation (1962-1965); Other (1979-1987)
93,"Walton Camp, Shropshire",On 1st Ed OS map (1899). Field observation Ordnance Survey 1971. Field observation Shropshire CC 1981. Geophysical survey University of Sheffield 1999. Shropshire Council survey 2012.,1st Identified Map Depiction (1899); Other (1971); Other (1981); Geophysical Survey (1999); Other (2012)
94,"Wart Hill, Shropshire","On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1973. Field observations Shropshire CC 1978, 1981. Shropshire Council survey 2012.",Other (1968); Other (1973); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1978-1981)
95,"Grimsbury Castle, West Berkshire (Grimsbury Camp)","The hillfort invited antiquarian interest resulting in brief reports and earthwork plans.  In Aubrey's Monumenta Britannica (1665-1693). Small excavations across the ramparts and western entrance were carried out in 1957 and the 1960's.  An earlier excavation in 1860  across mounds in the interior thought to be barrows produced no evidence (as reported in the notes of the proceeding of the British Archaeological Society, 1860) and were deemed to be pillow mounds during a field inspectors visit in 1963 but this interpretation is now uncertain (2014 English Heritage survey). Scheduled",1st Identified Map Depiction (1808); Earthwork Survey (1901); Excavation (1957); Excavation (1960); Other (1963); Other (1963); 1st Identified Written Reference (1665-1693)
96,"Bussock Camp, West Berkshire (Bussock Wood Camp)",In Aubrey's Monumenta Britannica (1665-1693). On OS 1st Ed map (1885-1900). Field investigation in 1963. The site is unexcavated. Gelling (1973: 277) suggests the name Bussock is Old English for buscuc 'place overgrown with bushes'. Scheduled,Other (1963); 1st Identified Written Reference (1665-1693); 1st Identified Map Depiction (1885-1900); Other (None-None)
97,"Walbury Camp, West Berkshire","No authorised excavation has been carried out.  A short-lived unauthorised schoolboy excavation of a pit was made by O.G.S. Crawford where charcoal, animal bones and two teeth were recovered.  A sketch plan of a survey appears in Williams-Freeman (1915: 114).  Field investigation in 1963. Geophysical survey (18.8ha) within the interior as part of the Wessex Hillfort Project (Payne et al. 2006) found no obvious archaeological features and the hillfort possibly saw only low level activity.  The site is mentioned in Camden's Britannia c.1586 and Aubrey's Monumenta Britannica (1665-1693). Scheduled",1st Identified Written Reference (1586); 1st Identified Map Depiction (1808); Other (1963); Geophysical Survey (1997); Excavation (1907); Other (None-None)
98,"Ramsbury, West Berkshire (Ramsbury Corner)","A fragment of ditch in the N-E partially following the 149m contour is recorded on the 1:25,000 1931-61 OS map. Discovered on 1948 aerial photograph. Excavations showed a ploughed-down bank of probable dump construction and a U-shaped dtich (Hadcock 1948-50).  No dating evidence was recovered",Other (1948); Excavation (1949); 1st Identified Map Depiction (1931-1961)
99,"Membury Camp, Wiltshire (Membury Fort)",On Ist Ed. OS map (1882). 1999-2000 RCHME aerial photograph interpretation as part of Lambourn Downs NMP.,1st Identified Map Depiction (1882); Other (1999-2000)
100,"Eston Nab, North Yorkshire","On 1st Ed OS map (1885-1900). General reference in Elgee (1930). Field investigation in 1967. Excavations (1927-9, 1966-8 and 1985-7) produced Mesolithic and Neolithic flintwork and evidence for one or more Bronze Age barrows prior to the construction of the hillfort. There is environmental evidence for late Bronze Age settlement and for vegetation clearance preceding the Iron Age rampart (Vyner 1988). Scheduled",1st Identified Written Reference (1930); Other (1952); Excavation (1953); Other (1967); Excavation (1987); 1st Identified Map Depiction (1885-1900); Excavation (1927-1929); Excavation (1966-1968)
101,"Perborough Castle, West Berkshire (Compton Castle)","On 1808 Ordnance Survey drawing of East Ilsley, General reference in Gray (1839). Earthwork survey 1961-2 (Wood and Harding 1962), Field investigation 1964. Geophysical survey 1996 (Payne et al. 2006). Scheduled",1st Identified Map Depiction (1808); 1st Identified Written Reference (1839); Other (1964); Geophysical Survey (1996); Earthwork Survey (1961-1962); Other (None-None)
102,"Caesar's Camp, Bracknell Forest",In Aubrey's Monumenta Britannica (1665-1693) and in Stukeley 1724. Recorded on 1885-1900 OS mapping. Field investigation in 1962 and 1963.  Geophysical survey in 1995. RCHME/EH earthwork survey (ref. no. 888724). Scheduled,Other (1962); Other (1963); Other (1963); Geophysical Survey (1995); 1st Identified Written Reference (1665-1693); 1st Identified Map Depiction (1885-1900); Earthwork Survey (1983-2005); Excavation (1990-1999)
103,"Allen Knott, Cumbria",General reference in Collingwood (1913). Limited excavation across the ramparts (Lowndes 1964). Field investigation in 1966 and 1975. Scheduled,1st Identified Written Reference (1913); Excavation (1963); Other (1966); Other (1975); Other (1975)
104,"Barrock Fell, Cumbria (Barrock Tell)",Recorded on aerial photograph in 1949. General reference in Challis and Harding (1975). Scheduled in 1974. Environment Agency lidar survey,Other (1949); Other (1974); 1st Identified Written Reference (1975); LiDAR Survey (None-None)
105,"Humbledon Hill, Tyne and Wear (Homeldon; Hamdon; Hamylden; Hamildon; Humbledon Bank)","During the construction the reservoir in 1873 a large round barrow containing three Bronze Age pottery vessels and associated cremations, two inhumations and an iron knife were discovered. Geophysical survey in 2003 revealed the buried remains of the settlement. Limited archaeological evaluation in 2006-7 confirmed the presence of a double ditched enclosure. Fragments of pottery, considered prehistoric, recovered from the ditches demonstrated that the inner ditch was dug during the later Bronze Age, probably for a palisade and the outer ditch during the Iron Age. Scheduled",Geophysical Survey (2003); Other (2011); Excavation (2006-2007)
106,"Carrock Fell, Cumbria","General reference in Hutchinson (1794). Recorded on 1st Ed OS map (1885-1900). The site was surveyed by Collingwood (1938) and RCHME in 1996, ref. no. 1078991. Surveyed at 1:1000 scale in 1986 by the Cumbria and Lancashire Archaeological Unit as part of the Lake District National Park Survey. OS field investigation in 1973.  Scheduled in 1978",1st Identified Written Reference (1794); Earthwork Survey (1938); Other (1968); Other (1973); Earthwork Survey (1996); 1st Identified Map Depiction (1885-1900)
107,"Castle Crag, Bampton, Cumbria",On 1st Ed OS map (1885-1900). Limited excavation in the early 1920's located a parapet rampart on the N side of the internal enclosure constructed of tightly laid flat stones on the inside. Clay floors and charcoal were found within the main enclosure and circular pits within the SW of the outer enclosure. Field Investigation in 1977. Scheduled.,Excavation (1922); Other (1925); Other (1977); 1st Identified Map Depiction (1885-1900)
108,"Castle Crag, Borrowdale, Cumbria",Recorded on 1883-1913 OS mapping. Antiquarian description (Housman 1800). Various artefacts recovered through a combination of quarrying and limited antiquarian investigation. Field investigation in 1973. Oxford Archaeology landscape survey (2007). Scheduled,1st Identified Written Reference (1800); Other (1963); Other (1973); Other (2007); 1st Identified Map Depiction (1888-1913); Excavation (1714-1837)
109,"Castle How, Peel Wyke, Cumbria",Plan and description produced by Curwen (1911) and Collingwood (1924). Recorded on OS 6-inch 1888-1913 OS mapping. Field investigation in 1966 and 1970. Scheduled,1st Identified Written Reference (1911); Other (1924); Other (1924); Other (1966); Other (1970); 1st Identified Map Depiction (1888-1913)
110,"Castle Howe, Little Langdale, Cumbria",None,NA
111,"Castlesteads, The Helm, Cumbria (Castle Steeds)","The site was recorded by Thomas West in his book 'A Guide to the Lakes' in 1778 ...""the castellum on the summit of a hill that rises immediately above Watercrook, at present called Castle Steads"" (1778: 14).  Plan showing what appears to ramparts around the entire circuit appears in The Annals of Kendal (Nicholson 1832).  Plan by Collingwood (1908). Field investigation in 1967. Measured survey by Green Lane Archaeology in 2012. Recorded on 1862-3 1:10,560 OS mapping. Scheduled",1st Identified Written Reference (1778); Other (1832); Other (1925); Other (1967); Earthwork Survey (2012); 1st Identified Map Depiction (1862-1863)
112,"Castlesteads, Lowther Park, Cumbria","Recorded on 1860-61 1:2,500 OS mapping. Included in 1936 RCHME Inventory of Historic Monuments. Field investigation in 1966. Scheduled",1st Identified Written Reference (1936); Other (1938); Other (1966); 1st Identified Map Depiction (1860-1861)
113,"Shoulthwaite Gill, Cumbria (Castle Crag, Shoulthwaite)","Recorded on 1885-1900 OS mapping. General reference in Collingwood (1924, 82). Field investigation in 1978. Feld survey in 1996 by Lancaster University Archaeological Unit (LUAU) with a detailed survey carried out in 1997.  A stratigraphic survey was undertaken in 1998 immediately to the S of the entrance through an area of land that is currently a mire, in order to investigate the possibility of buried ramparts and to assess the potential for further environmental investigation. A series of core transects showed the ditch to be steep edged but flat-bottomed, in contrast with the adjacent V-shaped rampart ditches to the S. Evidence suggests this had been water-filled and might have served as a moat. it was not possible to determine whether this had been the primary cut or a re-cut of an earlier defensive feature. Three cored sections taken for radiocarbon dating with material from near the base of the ditch providing a date of cal AD 538 - 676 and cal AD 560 - 690 (95% confidence limit).",1st Identified Written Reference (1924); Other (1924); Other (1978); Earthwork Survey (1997); Other (1998); Other (1998); 1st Identified Map Depiction (1885-1900)
114,"Castle Head, Cumbria (Atterpile Castle)",None,NA
115,"Maiden Castle, County Durham",Limited excavations across the ramparts in 1947 (Jarrett 1958-65). Field investigation in 1954 and 1980. Scheduled.,Other (1773); Other (1926); Excavation (1947); Other (1954); Other (1980)
116,"Skelmore Heads, Cumbria (Great Urswick Fort)","OS Field investigation in 1958 and 1967. Excavations carried out by Liverpool University in 1957 and 1959-1960 (Powell et al. 1963).  Recorded on 1969-70 1:2,500 OS mapping. Scheduled",Other (1958); Other (1964); Other (1967); Excavation (1957-1960); 1st Identified Map Depiction (1969-1970)
117,"Swarthy Hill, Cumbria",Discovered from aerial photographs in 1949. Limited excavations across two of the ditches by Bewley in 1988 and 1989. Excavation confirmed that the site dates to the Iron Age and has a good level of preservation of all three boundary ditches (Bewley 1992). RCHME: Cumberland Coast Project 1993. Scheduled,Other (1965); Other (1967); Other (1993); Other (2010); Excavation (1988-1989)
118,"Shackleton Beacon Hill, County Durham","The site was recorded in 1794 by local antiquary and topographer William Hutchinson. RCHME survey, ref. no. 621856. Field Investigators in 1953, 1962,1981, 1984, 1991. Scheduled.",1st Identified Written Reference (1794); Other (1953); Other (1962); Other (1981); Other (1981); Other (1984); Other (1991)
119,"Tilberthwaite, Cumbria","A number of small hollows were excavated in 1922 (Collingwood 1923) and found to contain a 5cm thick layer with stone flakes and charcoal inclusions overlain by dark grey sandy clay, but no dateable material. Field investigation in 1957",Excavation (1922); Other (1957)
120,"Dunmallard, Cumbria (Dunmallet, Dunmalloght,  Dunmallock)","On 1st Ed OS map (1885-1990). No excavation has taken place.  Historically it was known as  Dunmalloght (1307),  Dunmallock (1329).  Said to mean 'curse fort'. Institute for placename studies [www.nottingham.ac.uk/ins/index.aspx].  It was mis-identified as a Roman fort by Antiquarian Thomas West (1778). Field investigation in 1968. Scheduled",1st Identified Written Reference (1307); Other (1926); Other (1968); 1st Identified Map Depiction (1885-1900)
121,"Scarside Plantation, Cumbria",Recorded on 1937-61 OS mapping. Field investigation in 1971. Scheduled,Other (1938); Other (1971); 1st Identified Map Depiction (1937-1961)
122,"Kemp's Walk, Meikle Larbrax, Dumfries & Galloway (Kemp's Wark)","Depicted on Roy's map, it was also annotated by John Ainslie in 1782 on his Map of the county of Wigton, and appears on the 1st edition of the OS 6-inch map; a more detailed plan of the fort was drawn up by in 1911 by Fred MacGibbon for RCAHMS. It was revisited by RCAHMS in 1953 and again in 1985, and was re-surveyed by the OS at 1:2500 in 1968. It was Scheduled in 1939. Photographed by RCAHMS Aerial Survey Programme in 1982",1st Identified Map Depiction (1755); Earthwork Survey (1848); Earthwork Survey (1911); Other (1939); Other (1953); Other (1968); Other (1985); Other (2014)
123,"Dunskey Golf Course, Dumfries & Galloway (Portpatrick Post Office Radio Station; Fort Cottage)","Discovered by RCAHMS field survey in 1984, it was Scheduled in 1991.",Earthwork Survey (1984); Other (1991)
124,"Dounan Nose, Dally, Dumfries & Galloway","First noted by George Wilson about 1880, subsequently appearing on the 2nd edition of the OS 6-inch map and described in detail in 1911 by RCAHMS. It was Scheduled in 1938. The fort was re-surveyed by the OS at 1:2500 in 1968 and revisited in 1976. It was revisited by RCAHMS in 1984.",Earthwork Survey (1884); 1st Identified Map Depiction (1892); Other (1911); Other (1938); Other (1968); Other (1976); Other (1984)
125,"Croglam Castle, Cumbria","On 1st Ed OS map (1885-1900), Field investigation in 1974. Scheduled",Other (1951); Other (1974); 1st Identified Map Depiction (1885-1900)
