Main_Atlas_Number,Main_Display_Name,Management_Condition_Comments,Management_Land_Use_Comments,Management_Condition_Extant,Management_Condition_Cropmark,Management_Condition_Destroyed,Management_Land_Use_Woodland,Management_Land_Use_Plantation,Management_Land_Use_Parkland,Management_Land_Use_Pasture,Management_Land_Use_Arable,Management_Land_Use_Scrub,Management_Land_Use_Moorland,Management_Land_Use_Heath,Management_Land_Use_Urban,Management_Land_Use_Coastal,Management_Land_Use_Other
102,"Caesar's Camp, Bracknell Forest",Some erosion has occurred and possible damage to interior features from conifer plantation,Until 1994 the site was covered by conifer plantation.  Some trees remain on the ramparts with grass and heathland in the interior. Plateau gravels overlying sand of the Barton Beds,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
103,"Allen Knott, Cumbria",Modern quarrying and agriculture have destroyed the southern and eastern extents of the site.,"Appears from satellite imagery to be unimproved grazing. Land owned by the National Trust, No. 20443",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
104,"Barrock Fell, Cumbria (Barrock Tell)",The site is visible as a cropmark on aerial photographs and earthwork on lidar in Great Barrock Wood.  Principle threat is from ploughing (Heritage at Risk Register 2013),Lies in an area of arable fields. A conifer plantation is present on the western edge.,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
105,"Humbledon Hill, Tyne and Wear (Homeldon; Hamdon; Hamylden; Hamildon; Humbledon Bank)",Sub-surface ditches with a surviving bank,Housing Estate with rough grassland in the W,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes
106,"Carrock Fell, Cumbria",Upstanding but the surrounding drystone rampart has tumbled with a recorded spread of up to 17m in places.,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
107,"Castle Crag, Bampton, Cumbria",The rampart is now lost in the N and E,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
108,"Castle Crag, Borrowdale, Cumbria",Slate quarrying has removed the SW corner of the rampart,"The land is now owned by the National Trust, HER Ref. 20125.",Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
109,"Castle How, Peel Wyke, Cumbria",NA,Earthworks survive well in woodland but are cut into by an old quarry on its NE side.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
110,"Castle Howe, Little Langdale, Cumbria",Survives as rock-cut ditches and platforms,Land owned by the National Trust Ref No 27504,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
111,"Castlesteads, The Helm, Cumbria (Castle Steeds)","A measured survey by Green Lane Archaeology in 2012 recorded considerable differences in the state of erosion across the hillfort with heavy erosion on the western side which is common land. It is overgrown in the E but with only minor erosion. Erosion has been caused almost entirely by footfall and the use of motorbikes on the site.  A trig point towards the SW of the site has been placed on top of an artificial earthwork forming part of the monument, and erosion is particularly severe in this area. Images of snowboarding on the ramparts on GE imagery","The fort is divided NS by the parish boundary which is marked by a wall. It is grazed in the W, but bracken and gorse have been allowed to grow in the east. The western side is common land in private ownership",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
112,"Castlesteads, Lowther Park, Cumbria",NA,NA,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
113,"Shoulthwaite Gill, Cumbria (Castle Crag, Shoulthwaite)",NA,A well-preserved enclosure sited on a bare outcrop with patches of heather,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
114,"Castle Head, Cumbria (Atterpile Castle)",It is uncertain if the hill was ever enclosed or if the defences have been destroyed.,The site is currently on land owned by a field study centre and used for recreational purposes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes
115,"Maiden Castle, County Durham","Deep ploughing associated with the planting of the woodland has caused damage across the interior and the bank in the W, reducing it to an outward facing scarp up to 3 m high, with only minimal traces of a counter scarp towards the southern end.",Planted with mixed conifers and deciduous trees,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
116,"Skelmore Heads, Cumbria (Great Urswick Fort)",The bank is now low and the ditch partially infilled,Grassland,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
117,"Swarthy Hill, Cumbria","The site has been deep ploughed since the 1940's and it is uncertain if any internal features survive (Bewley 1992, 37-8). Coastal erosion has also resulted in subsidence in the NW and is at risk of further erosion",Deep ploughed since the 1940's.,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
118,"Shackleton Beacon Hill, County Durham",It currently lies within unmanaged woodland and is included in the Heritage at Risk Register 2015 as vulnerable from scrub and tree growth,NA,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
119,"Tilberthwaite, Cumbria",Natural feature,The site is owned by the National Trust Ref No; 20303,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
120,"Dunmallard, Cumbria (Dunmallet, Dunmalloght,  Dunmallock)",The central part of the rampart in the east has eroded downslope,NA,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
121,"Scarside Plantation, Cumbria",The monument survives in reasonably good condition but is overgrown,Land under Woodland Grant Scheme,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
122,"Kemp's Walk, Meikle Larbrax, Dumfries & Galloway (Kemp's Wark)","While in relatively good condition, the outer ramparts have been damaged by cultivation, and there are traces of rig crossing the interior",Bracken clothes the sides of the promontory and there are scattered gorse bushes on the ramparts,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
123,"Dunskey Golf Course, Dumfries & Galloway (Portpatrick Post Office Radio Station; Fort Cottage)",NA,Partly gorse-grown,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
124,"Dounan Nose, Dally, Dumfries & Galloway",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
125,"Croglam Castle, Cumbria",Poor condition. The site has been ploughed and damage has occurred.,"Ploughed in the past, its current use is unknown but aerial coverage appears to show grassland, possibly grazed.",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
127,"High Auchneel, Dumfries & Galloway",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
128,"Portobello, Dumfries & Galloway (Mains of Cairnbrock)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
129,"Mare Rock, Dumfries & Galloway (High Auchneel)",In some places the wall has completely disappeared.,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
130,"Juniper Face, Dumfries & Galloway (High Auchneel)",Little of the wall remains visible on the very summit.,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
131,"Mare Rock, Dumfries & Galloway (High Auchneel)",NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
132,"Fort Point, Larbrax Moor, Dumfries & Galloway (Salt Pans Bay, Galdenoch)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
133,"Dunskirloch, Dumfries & Galloway",Heavily robbed wall.,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
134,"Cassington Ring, Oxfordshire (Cassington Mill Big Ring)",NA,Destroyed by gravel quarrying,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
135,"Tadmarton Camp, Oxfordshire (Tadmarton Heath Camp)",Site is cut by a road NE to SW. Outer rampart ploughed away to north and west. South and East damaged by golf course greens. Inner rampart visible for most of its circuit.,NA,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
136,"Madmarston Hill Camp, Oxfordshire (Madmarston Camp)",NA,"Shown as upstanding multivallate on aerial photos of 1947, has since been flattened by ploughing except for small section of rampart under scrub on NE side.",Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
137,"Alfred's Castle, Oxfordshire",NA,"Small enclosure is extant earthwork (National Trust and pasture), large enclosure is ploughed out and visible as a cropmark.",Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
138,"Castle Grove Camp, Oxfordshire (Wyfold Castle)",NA,"Extensively mutilated by gravel digging and tree-felling, especially to the N and W. Along the SE side, the counter-scarp of the ditch has been destroyed by the construction of a woodland boundary bank. The N part of the earthwork, much reduced and masked by rhododendron bushes. Tree and brush cover over most of the site.",Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
139,"Bozedown Camp, Oxfordshire (Binditch)",On Heritage at Risk Register (2015).,"Badly damaged by ploughing and tree cover, some quarrying of the southern ramparts, best preserved run of rampart is in the NW. Interior and much of the rampart under arable.",Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
140,"Blewburton Hill, Oxfordshire",NA,"Ramparts survive around north-western and south-western quadrants as lynchets on the top of the slope. Complicated to north and west by (later) field terraces. Eastern side of site ploughed down, some tree cover on south and north-east.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
141,"Little Coxwell Camp, Oxfordshire (Lower Coxwell Camp; Onetree Hill)",NA,"Single bank and ditch best preserved at north and west, south eastern area destroyed by the building of a house. Stretches of rampart ploughed away.",Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
142,"Sinodun Hill Camp, Oxfordshire (Castle Hill)",NA,"Inner rampart eroded but ditch and counterscarp bank well preserved, mostly pasture, some tree cover in interior and on N and NE ramparts",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
143,"Cherbury Camp, Oxfordshire",NA,"Upstanding ramparts for the whole circuit although outer ramparts on the E side have gone, has been ploughed in the interior but now pasture, woodland along the W ramparts, patches of scrub in other areas, rampart damage due to animals",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
144,"Badbury Camp, Oxfordshire",NA,"Inner rampart is upstanding earthwork for most of the circuit, within National Trust woodland, some damage due to trees and tracks, possible counterscarp bank is much eroded but still visible in places",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
145,"Burroway, Oxfordshire",NA,"Rampart survives as a low bank, ditch visible on aerial photographs as are some internal features. Under arable cultivation and pasture.",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
146,"Uffington Castle, Oxfordshire (Woolstone Castle)",NA,"Preservation is good for rampart, ditch, counterscarp and western entrance. Interior has been ploughed in the past, now National Trust, sheep grazing. SSSI.",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
148,"Chastleton Camp, Oxfordshire (Chastleton Barrow)",NA,"Upstanding bank for complete circuit with stonework eroding, some signs of a filled in ditch. Rampart is tree covered, interior has been ploughed in the past as are the fields around the site, interior now pastur.",Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No
149,"Bladon Camp, Oxfordshire (Round Castle)",NA,"Upstanding for most of the circuit but in poor condition, bivallate with ditches, outer bank slight, inner bank survives in places, some small-scale quarry damage on the W. Whole site covered with trees and scrub.",Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
151,"Ilbury Camp, Oxfordshire",On Heritage at Risk Register (2015).,"Upstanding mainly around the W half, bank covered by trees and shrubs. Split be fence line through the middle with pasture to the W and arable to the E resulting in the E rampart being much denuded.",Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
152,"The Roundabout, Oxfordshire (Lyneham Camp; Merriscourt)",NA,"Single rampart upstanding for whole circuit except for a length at the S due to quarrying and being cut by the main road, A361. Whole circuit covered by trees, more extensive woodlands to W and S, ditch visible to N and W, interior has been ploughed but now pasture.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
153,"Knollbury Camp, Oxfordshire (Knoll Bury Roman Camp; Knollberry, Banks)",NA,"Upstanding earthwork for the entire circuit, now pasture but has been ploughed in the interior and around.",Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
154,"Hardwell Camp, Oxfordshire",NA,Ramparts upstanding but heavily wooded as is most of interior making it very difficult to interpret,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
155,"Segsbury Camp, Oxfordshire (Letcombe Castle)",NA,"Single rampart and outer ditch survive for complete circuit, ditch filled in but still 5m to rampart top in places, counterscarp bank survives in places, best to NW. Interior has been ploughed. Some tree and scrub cover on ramparts and badger damage.  SSSI.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
156,"Little Tew, Oxfordshire",NA,"Inner bank is best surviving to N and NW, only hints of outer two on the ground to the N, other stretches show on aerial photographs. Pasture, part of suggested line is arable, some buildings.",Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No
157,"Hill Farm, Bruern, Oxfordshire",NA,"Mostly ploughed away, still arable, low bank survives in places, some shallow quarrying in the interior.",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
158,"Eynsham Park Camp, Oxfordshire",NA,"The earthworks of the enclosure and annex are upstanding and in good condition, the enclosure is wooded, the annex is also at the N where it joins the enclosure, the central and S sections are in open parkland.",Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
159,"Harborough Bank, Oxfordshire (Herborowe Bank)","Completely ploughed away, visible on aerial photographs.","Discovered as a cropmark in 1930, now still arable",No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
161,"Wigginton Heath, Oxfordshire",NA,"Ploughed out, under arable",No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
162,"Castle Bank, Oxfordshire",On Heritage at Risk Register (2015).,"Upstanding earthwork on NW side with scrub and field hedge on it, other three sides are ploughed nearly flat and show as cropmark.",Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
164,"Horspath, Oxfordshire",NA,"A short length of ditch, curving at the ends, is visible on an aerial photograph, ploughed flat.",No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
165,"Silsbury Hill, Oxfordshire",NA,"Based on aerial photograph and Underhill 1938, no surviving evidence.",No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No
