Main_Atlas_Number,Main_Display_Name,Enclosing_Area_1,Enclosing_Area_2,Enclosing_Area_3,Enclosing_Area_4,Enclosing_Enclosed_Area,Enclosing_Area,Enclosing_Max_Ramparts,Enclosing_NE_Quadrant,Enclosing_SE_Quadrant,Enclosing_SW_Quadrant,Enclosing_NW_Quadrant,Enclosing_Ditches_Number,Enclosing_Summary,Enclosing_Multiperiod_Comments,Enclosing_Circuit_Comments,Enclosing_Quadrant_Comments,Enclosing_Surface_Comments,Enclosing_Excavation_Comments,Enclosing_Gang_Working_Comments,Enclosing_Ditches_Comments,Enclosing_Multiperiod,Enclosing_Circuit,Enclosing_Current_Part_Uni,Enclosing_Current_Uni,Enclosing_Current_Part_Bi,Enclosing_Current_Bi,Enclosing_Current_Part_Multi,Enclosing_Current_Multi,Enclosing_Current_Unknown,Enclosing_Period_Part_Uni,Enclosing_Period_Uni,Enclosing_Period_Part_Bi,Enclosing_Period_Bi,Enclosing_Period_Part_Multi,Enclosing_Period_Multi,Enclosing_Surface_None,Enclosing_Surface_Bank,Enclosing_Surface_Wall,Enclosing_Surface_Rubble,Enclosing_Surface_Walk,Enclosing_Surface_Timber,Enclosing_Surface_Vitrification,Enclosing_Surface_Burning,Enclosing_Surface_Palisade,Enclosing_Surface_Counter_Scarp,Enclosing_Surface_Berm,Enclosing_Surface_Unfinished,Enclosing_Surface_Other,Enclosing_Excavation_Nothing,Enclosing_Excavation_Bank,Enclosing_Excavation_Wall,Enclosing_Excavation_Murus,Enclosing_Excavation_Timber_Framed,Enclosing_Excavation_Timber_Laced,Enclosing_Excavation_Vitrification,Enclosing_Excavation_Burning,Enclosing_Excavation_Palisade,Enclosing_Excavation_Counter_Scarp,Enclosing_Excavation_Berm,Enclosing_Excavation_Unfinished,Enclosing_Excavation_No_Known,Enclosing_Excavation_Other,Enclosing_Gang_Working,Enclosing_Ditches
32,"Timberline, Herefordshire (Timberline Camp)",2.0,-1.0,-1.0,-1.0,2.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"A section across the rampart near the presumed N entrance suggested a rampart some 5.6m high, with possible revetment to the inside face, and ditch. The ditch survives on the W, N and E sides. There is a berm 4m wide to the S and E. A survey by Herefordshire Council in 2012, however, suggested that the crest of the bank is now around 3m above the infilled exterior ditch and questioned whether the earlier 5.6m was accurate. The exact location of the surviving bank is uncertain but thought to survive in places and above estimated.",The site area is unknown and estimated.,"The exact location of the surviving bank is uncertain, but thought to survive from the SE to SW the rest of the circuit, with slight ditch and no counterscarp.",NA,Possible earthen bank. Berm 4m wide from the SE to SW.,Possible revetment to the inner face of the rampart.,NA,"The ditch c 2.5m wide survives on the W, N and E sides, with 1m to the interior. ",No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
33,"Uphampton Camp, Herefordshire",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,0.0,0.0,3.0,0.0,"Low banks, averaging 3m in height, are now only visible as terraces on the N slope of the hill, but no ditch is visible. There is no evidence on the S side and it has been suggested that the site is unfinished.",Near destruction of site results in problem of area definition.,"Banks only visible to the north, nothing visible on S side.",NA,Earthen bank suggested only. There is no evidence on the S side and it has been suggested that the site is unfinished.,NA,NA,No ditches visible,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
34,"Wall Hills Camp, Ledbury, Herefordshire (Wall Hills, Ledbury)",10.1,-1.0,-1.0,-1.0,10.1,-1.0,2.0,2.0,2.0,1.0,1.0,2.0,"The site is characterised by having two enclosures, that to the S being c. 6m higher and separated from the N enclosure by a wet outer ditch. Counterscarp bank. There was a probable ditch with a high steep inner scarp and outer rampart following the natural contours around the outer perimeter of the fort. The ditch is filled and looks like a berm for much of its length. The outer rampart is also fragmentary. The circuit is complete, but its exact nature is not recorded.","Two enclosures - that to W is 3.3ha in area; that to E 8.4ha. No indication of phasing, but possible.",The circuit is complete.,NA,Earthen bank is conjecture only. The visible berm is the remains of the filled-in outer ditch. There is a counterscarp bank.,NA,NA,Wet ditch between the two enclosures.  There was a probable ditch with a high steep inner scarp and outer rampart following the natural contours around the outer perimeter of the fort. The ditch is filled and looks like a berm for much of its length.,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
35,"Wall Hills, Thornbury, Herefordshire",9.0,-1.0,-1.0,-1.0,9.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"A single, massive, rampart and scarping gives height and rises to 12.5m above the ditch to the E, which also has a low counterscarp bank of up to 1.2m.",Large site in area.,Banks complete the circuit.,Single massive rampart.,Possible earthen bank. Low counterscarp,NA,NA,An outer ditch remains on the N and E sides.,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
36,"Walterstone Camp, Herefordshire (Coed-y-Grafel)",1.77,-1.0,-1.0,-1.0,1.77,-1.0,3.0,3.0,3.0,3.0,3.0,3.0,"Triple ramparts, the outer and inner higher than middle. The inner rampart is strong and up to 3.2m above the ditch bottom, with a counterscarp to 2.6m above ground level.",Circular nature of the site is unusual.,Good circuit of ramparts.,NA,Counterscarp to 2.6m above ground level.,NA,NA,External ditch visible in places.,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
37,"Wapley Camp, Herefordshire",5.4,-1.0,-1.0,-1.0,5.4,-1.0,3.0,2.0,3.0,3.0,2.0,2.0,Defences from the valley below appear massive with three banks on the E and W and two on the N. Two banks 7m-8m high with berm on outer. Two ditches.,Triangular asymetric enclosure 420m by 200m.,The ramparts are variable but complete the circuit. Three banks on the E and W and two on the N.,NA,Berm on outer.,NA,NA,Two ditches variable about the site.,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
38,"Westington Camp, Herefordshire",0.4,-1.0,-1.0,-1.0,0.4,-1.0,2.0,0.0,0.0,2.0,0.0,1.0,"Only the SW part of the site remains. On the NW side of this area there is a two scarp slope visible with inter-spaced berm, with bank remnants to the W and S. Within the enclosure is a slight E to W cross scarp. Most of site destroyed. Possible slight ditch to the SW.","So little of the site remains, the area of 0.4ha bears little relationship to the actual area of the hillfort.",Most of site destroyed,NA,Possible earthen bank fragment. The whole of the NE end destroyed or never completed. Berm on NW.,NA,NA,Possible slight ditch to the SW.,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
39,"Abdon Burf, Shropshire",7.6,-1.0,-1.0,-1.0,7.6,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,"All destroyed, but single ditch confirmed and probably stone-walled site.",Site destroyed and area estimated. Entrance possibly remodelled on more than one occasion suggests phasing and possibly univallate in prehistory.,"Site destroyed, but possibly univallate in prehistory.",NA,"No present evidence, site destroyed, but probably stone-walled site.",Single ditch confirmed. Possibly  stone-walled site.,NA,"None. Site destroyed, but former single ditch confirmed by excavation.",Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
40,"Billings Ring, Shropshire",1.72,-1.0,-1.0,-1.0,1.72,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,"Enclosed by a rampart, ditch and counterscarp some 200m by 120m. the rampart is ploughed down to c. 1m above interior and 5m to the bottom of the ditch, with the counterscarp rising to 1.2m above the ditch. The E and far S sides only have a scarp slope in evidence. A break of slope along the top of the rampart to the N and W could either be later 20th century ploughing, the remnants of a post-medieval hedge bank or possibly a late phase of the defences.",NA,The far S and E sides have only a scarp slope.,The far S and E sides have only a scarp slope. The remainder a bank to 1m above the interior.,Possible earthen bank with counterscarp.,NA,NA,"Ditch visible on the NW, NE and SW quarters.",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
41,"Blodwell Rock, Shropshire",2.48,-1.0,-1.0,-1.0,2.48,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,"Double ramparts at the N end of the site and covered by additional outwork, but single on the E and W. Multiple ramparts on the S side, but obscured by dense mixed wood planting. Ditches very variable.",NA,NA,NA,Stone and earth banks.,NA,NA,The ditches are very variable.,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
42,"Knuck Wood, Shropshire (Birches Bank)",0.25,-1.0,-1.0,-1.0,0.25,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,"The bank is of earth and stone, the top level with the interior and varies in height from c. 0.5m to 1.7m on the N to its highest at 1.5m to 2.4m on the S and SW. The E side has been formed by artificially accentuating the line of the spur with no bank and ditch. The external ditch, which surrounded the interior except on the E,  has been filled in and buried and probably destroyed by the road on the N part of the W side. The line of the ditch can be seen as a slight terrace on the S and SW sides.","Small site, but definitely a hillfort.",Ramparts surround the circuit except on the E where the slope is steepest and no major defence required.,Traces of a bank except on the E side.,Earth and stone bank.,NA,NA,"The external ditch, which surrounded the interior except on the E,  has been filled in and buried and probably destroyed by the road on the N part of the W side. The line of the ditch can be seen as a slight terrace on the S and SW sides. ",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
43,"Bodbury Ring, Shropshire",0.49,-1.0,-1.0,-1.0,0.49,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Single rampart rising to nearly 2m from the interior, and dropping between c. 5m-6m+ to the deep surrounding ditch, which continues around the headland as a berm of c. 2. width. A simple entrance crosses the N bank at its E end. The bank was possibly originally a cross-dyke cutting off the spur, with the entrance cut later in prehistory and the slopes scarped to form the present enclosure.",Small fort of definite area.,The N bank was possibly originally a cross-dyke cutting off the spur.,NA,Deep surrounding ditch continues around the headland as a berm of c. 2. width.,NA,NA,The deep surrounding ditch continues around the headland as a berm of c. 2 m width.,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
44,"Bulthy Hill, Shropshire",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,"A possible bank and ditch are visible on aerial photographs on the E side, but difficult to see on the ground apart from a possible break of slope. A possible enhanced gully on the W side may be defences and a slight change of slope to the S may also be defences.  The precipitous N appears to have no defences.",The enclosed are has yet to be determined.,The precipitous N appears to have no defences.,NA,Defences difficult to interpret.,NA,NA,A ditch is now a buried feature.,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
45,"Burf Castle, Shropshire",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Defined by a scarp slope around 1.6m high, with a steep natural slope on the SW. The NW end encloses a natural knoll and here there are races of an external ditch. The apparent ditch to the SE could be a natural gully.",Enclosed area not determined.,Indefinite defences pose interpretation problems.,NA,NA,NA,NA,Traces of an external ditch to the NW. The apparent ditch to the SE could be a natural gully.,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
46,"Burrow Hill Camp, Shropshire (Burrow Hill)",3.2,-1.0,-1.0,-1.0,3.2,-1.0,3.0,3.0,3.0,3.0,2.0,3.0,"Three massive ramparts and ditches in evidence, apart from at the NW where a single rampart and ditch with counterscarp defend the steepest side. Use made of natural outcrops enhance and included in the circuit in the NW sector and on the S side.",NA,NA,NA,Counterscarp bank in evidence.,No details.,NA,"Three massive ramparts and ditches in evidence, apart from at the NW where a single rampart and ditch with counterscarp defend the steepest side. ",No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
47,"Bury Ditches, Shropshire",2.2,-1.0,-1.0,-1.0,2.2,-1.0,5.0,5.0,2.0,2.0,5.0,5.0,"Roughly oval in shape, with up to five massive ramparts up to 7m in height on the N side where the slopes are less steep; each with an outer ditch. Possible quarry scoops in the interior of the innermost rampart. On the S and E sides there are two ramparts with medial ditch where the slopes are steeper.",NA,Superb circuit of up to five ramparts.,NA,Possible earthen bank.,NA,NA,Each of the up to five ramparts has an outer ditch.,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
48,"Bury Walls, Shropshire",8.8,-1.0,-1.0,-1.0,8.8,-1.0,2.0,2.0,1.0,1.0,2.0,2.0,"Single rampart built on the steepest S,E and W slopes and double ramparts and ditches on the less steep N edge of the hill. In places inner bank 11.6 m high. Ditch cutting across site may be an earlier rampart to smaller enclosure.",None,NA,NA,NA,NA,NA,Ditch cutting across site may be an earlier rampart to smaller enclosure.,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
49,"Caer Caradoc, Clun, Shropshire (Caer Caradoc, Chapel Lawn; Gaer Ditches)",2.7,-1.0,-1.0,-1.0,2.7,-1.0,3.0,3.0,2.0,3.0,3.0,3.0,"Two banks and ditches for most of circuit, but outer bank absent on the S where there is a counterscarp and on the W a third bank and ditch is separated from second ditch by a level space giving added protection to the S flank of the entrance. the ramparts have broad flat tops. Phased construction of dry-stone wall faced ramparts of flat siltstone flags, later heightened and widened by dump construction.","Phased construction of dry-stone wall faced ramparts of flat siltstone flags, later heightened and widened by dump construction.",Number of ramparts vary around circuit. No details of phasing.,"Two banks and ditches for most of circuit, but outer bank absent on the south where there is a counterscarp and on the west a third bank and ditch is separated from second ditch by a level space giving added protection to the south flank of the entrance. Phased construction of dry-stone wall faced ramparts of flat siltstone flags, later heightened and widened by dump construction. Ramparts have broad flat tops.","Phased construction of dry-stone wall faced ramparts of flat siltstone flags, later heightened and widened by dump construction. Ramparts have broad flat tops.",NA,NA,Up to three ditches in evidence.,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
50,"Caer Caradoc, Church Stretton, Shropshire",2.6,-1.0,-1.0,-1.0,2.6,-1.0,3.0,2.0,3.0,3.0,2.0,2.0,"Main inner scarped rampart (formerly a stone wall?) follows the crest of the slopes and uses natural rock on the SE. 25 m from this is an outer  additional bank for most of the circuit constructed from an internal quarry ditch. Third defensive bank on shallower S side. The inner rampart is 12 m wide and up to 1.7 in height, enclosing an area 375 m by 70 m. The outer rampart is 10 m below around the N part of the site, 10 m wide and o.5 m high and with an internal ditch 0.5 m deep. The ditch reappears at the SW end with the third rampart to the SW.",NA,The number of ramparts vary around the circuit.,"Main inner scarped rampart (formerly a stone wall?) follows the crest of the slopes and uses natural rock on the south-east. 25 m from this is an outer  additional bank for most of the circuit constructed from an internal quarry ditch. Third defensive bank on shallower southern side. The inner rampart is 12 m wide and up to 1.7 in height, enclosing an area 375 m x 70 m. The outer rampart is 10 m below around the N part of the site, 10 m wide and o.5 m high and with an internal ditch 0.5 m deep. The ditch reappears at the SW end with the tird rampart to the SW.",Main inner scarped rampart formerly a stone wall?,NA,NA,Ditches variable throughout circuit.,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
51,"Caerbre, Shropshire (Chirbury)",2.5,-1.0,-1.0,-1.0,2.5,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,"The S is bounded on the W and SW by steep and rocky cliffs falling c. 100 m to the river. A massive earth and stone rampart cuts off the promontory on the E and NE, some 14 m wide and up to 1.7 m high internally and standing 4.5 m above an outer ditch 8 m wide and 1.2 m deep. The rampart stops abruptly at the S end at the edge of the natural slope, and it is here that the entrance was located. To the N the rampart fades out at the natural slopes, or may not have been completed.",Possible area only.,Rampart cuts off the promontory.,Ramparts cut off the promontory on the E side.,"Possibly earth and stone bank. To the N the rampart fades out at the natural slopes, or may not have been completed.",NA,NA,Outer ditch to rampart.,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
52,"Caer-Din Ring, Shropshire (Caer Din Ring)",0.88,-1.0,-1.0,-1.0,0.88,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"A bank and outer ditch of earth and stone, both reduced by ploughing, surround the site. The ditch is can be seen to 0.2 m to the S and on the NW side a steep rock-cut face is visible.",NA,NA,NA,Earth and stone bank and rock-cut face to ditch to the NW.,NA,NA,The ditch is can be seen to 0.2 m to the S and on the NW side a steep rock-cut face is visible.  ,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
53,"Calcot Camp, Shropshire",1.4,-1.0,-1.0,-1.0,1.4,-1.0,2.0,1.0,1.0,1.0,2.0,2.0,"Slopes are very steep to the river on the E and N and here the ramparts form a steep scarp, mutilated in places to the S. It appears that the hillfort was of phased construction, Phase I being a roughly rectangular site some 130m by120m and possibly enclosing c. 1.4ha, including the summit of the spur (now occupied by a water tank) and the gently sloping E slopes and with a NW entrance. Later in Phase II, the site was extended, seemingly with two lines if bank and ditch near to the entrance which may have been remodelled with passageway and inturns. The site has been mutilated, especially on the SW side.",The area is not definite. Two phased construction.,"Ramparts in each quadrant, but not complete, as site mutilated, especially on SW side where buildings of Calcot Farm.",NA,The field track has exposed a dump earthen bank with a few stones.,NA,NA,Possibly two ditches. There are two lines of bank and ditch near to the NW entrance and there may be evidence of a slight ditch to the S. ,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
