Main_Atlas_Number,Main_Display_Name,Entrances_Breaks,Entrances_Original,Entrances_Breaks_Comments,Entrances_Original_Comments,Entrances_Chevaux_Comments,Entrances_Summary,Related_Entrances,Entrances_Guard_Chambers,Entrances_Chevaux
92,"Wall Camp, Kynnersley, Shropshire (The Wall; Kinnersley Wall)",2.0,2.0,Modern gaps probably occur but are not recorded.,"A particular feature of the site are the causewayed entrances. One an 8m causeway through the inner rampart at the SE corner of the site, the second a flat topped causeway to the NE.",NA,"A particular feature of the site are the causewayed entrances. One is an 8m causeway through the inner rampart at the SE corner of the site, the second a flat-topped causeway to the NE.",Simple Gap (South east); Simple Gap (North east),No,No
93,"Walton Camp, Shropshire",1.0,1.0,No modern gaps.,Inturned entrance on the E original.,NA,"There is an inturned entrance on the E with a pronounced holloway leading S 90 m long and 8 m in width and 1.5 m deep to the E, and turns W before petering out, but could have continued for another 70 m to the SW.",In-turned (East); Hollow Way (East),No,No
94,"Wart Hill, Shropshire",1.0,1.0,Entrance not visible.,Possibly an elaborate entrance to the NE.,None.,"Entrance not visible, but possibly elaborate to the NE where the banks are themselves more elaborate and the slope less steep.",Simple Gap (North east),No,No
95,"Grimsbury Castle, West Berkshire (Grimsbury Camp)",3.0,3.0,NA,It is uncertain if the entrance in the NE is original,NA,"Entrances with associated outworks lie in the NE and W. In the W the main bank and ditch turn slightly inwards leaving a gap of approximately 11m. The bank and counterscarp measure 2.5 and 1.0m respectively. Approximately 30m to the W of this, within the outer earthwork is a complex of banks and a banked ditch 2.5m deep, from which the outer entrance work adjoins the outwork in the W. The entrance in the NE at the apex of the triangle is 11m wide and now carries a modern road which runs through the hillfort. No internal features contemporary with the construction of the hillfort are known. An entrance recorded by Wood (1959) in the NE which leads to springs is possibly later.",In-turned (West); Outworks (North); Simple Gap (North east),No,No
96,"Bussock Camp, West Berkshire (Bussock Wood Camp)",4.0,1.0,NA,NA,NA,"Four entrances were reported but only three were clearly visible at the beginning of the 20th century, with only the one in the N considered original",Simple Gap (North),No,No
97,"Walbury Camp, West Berkshire",7.0,2.0,Based on earthwork plan in the Wessex Hillforts Project report (2006).,NA,NA,"Seven breaks, two original. In-turned to NW and simple gap to SE",In-turned (North west); Simple Gap (South east),No,No
98,"Ramsbury, West Berkshire (Ramsbury Corner)",-1.0,-1.0,Unknown,Unknown,NA,The location of entrances is unknown,NA,No,No
99,"Membury Camp, Wiltshire (Membury Fort)",6.0,1.0,"Five modern gaps, especially where county boundary passes through site on N and E.",Original entrance on NE side.,NA,"Overgrown and mutilated gap on NE with flanking earthwork on W probably original inturned entrance; Five other modern gaps, especially where county boundary passes through site on N and E.",In-turned (North east),No,No
100,"Eston Nab, North Yorkshire",2.0,2.0,NA,NA,NA,"A drawn survey of Eston Nab shows two breaks in the ramparts.  The simple gap in the S-E is considered original, a narrow  break in the S-W with a rounded ditch terminal suggests this might be a second original entrance.",Simple Gap (South east); Simple Gap (South west),No,No
101,"Perborough Castle, West Berkshire (Compton Castle)",-1.0,1.0,NA,NA,NA,A simple gap entrance in the N,Simple Gap (North),No,No
102,"Caesar's Camp, Bracknell Forest",6.0,3.0,NA,NA,NA,"Two entrances in the N and NW, with a third entrance in the S believed to survive as a buried feature",Uncertain (North); Uncertain (South); Uncertain (North east),No,No
103,"Allen Knott, Cumbria",-1.0,-1.0,None within surviving ramparts,NA,NA,NA,NA,No,No
104,"Barrock Fell, Cumbria (Barrock Tell)",1.0,1.0,NA,NA,NA,Cropmarks suggest a slightly out-turned entrance in the NE.,Out-turned (North east),No,No
105,"Humbledon Hill, Tyne and Wear (Homeldon; Hamdon; Hamylden; Hamildon; Humbledon Bank)",-1.0,1.0,NA,NA,NA,"Surviving single entrance in the W, remainder of enclosing works destroyed",Simple Gap (West),No,No
106,"Carrock Fell, Cumbria",8.0,2.0,NA,NA,NA,"At least 8 breaks are shown around the circuit in Collingwood's drawn survey of 1938. Hogg (1975) considered two breaks to be original. In the W the entrance measures 3m wide; in the S, the entrance lies slightly to the E of centre and measures 4.4m wide. RCHME suggest the majority of the breaks could be original",Simple Gap (West); Simple Gap (South),No,No
107,"Castle Crag, Bampton, Cumbria",-1.0,1.0,NA,NA,NA,Simple gap in the SW of the outer enclosure ditch 2.5m wide,Simple Gap (South west),No,No
108,"Castle Crag, Borrowdale, Cumbria",-1.0,-1.0,NA,NA,NA,No apparent entrance although it is assumed this was on the side of easiest access in the S which has now been quarried,NA,No,No
109,"Castle How, Peel Wyke, Cumbria",1.0,1.0,NA,NA,NA,A single entrance on the eastern side which passes through a gap in the outer bank and across a causeway over the inner ditch.  A rocky hummock approximately 2m high which is artificially dished out  provides a rock breastwork between the inner and outer ditches,Simple Gap (East),No,No
110,"Castle Howe, Little Langdale, Cumbria",-1.0,1.0,NA,NA,NA,Single entrance in the W accessed with difficulty,Simple Gap (West),No,No
111,"Castlesteads, The Helm, Cumbria (Castle Steeds)",0.0,0.0,NA,NA,NA,The location of entrances is not recorded,NA,No,No
112,"Castlesteads, Lowther Park, Cumbria",-1.0,2.0,NA,NA,NA,"Entrances in the N and S, both simple gaps",Simple Gap (North); Simple Gap (South),No,No
113,"Shoulthwaite Gill, Cumbria (Castle Crag, Shoulthwaite)",-1.0,1.0,NA,NA,NA,A simple gap in the E cuts through the bank close to the foot of the knoll,Simple Gap (East),No,No
114,"Castle Head, Cumbria (Atterpile Castle)",0.0,0.0,NA,NA,NA,None known,NA,No,No
115,"Maiden Castle, County Durham",2.0,1.0,"A second gap lies at the extreme S end of the defences, but a landscaped path has confused the earthworks",NA,NA,"Single gap entrance in the N, with tentative entrance in the S",Simple Gap (North),No,No
116,"Skelmore Heads, Cumbria (Great Urswick Fort)",1.0,1.0,NA,NA,NA,"A causeway across the ditch in in the NW leads to a 2.1m wide entrance through the bank, which provides access to the interior.",Simple Gap (North west),No,No
117,"Swarthy Hill, Cumbria",-1.0,2.0,NA,Both in the SE,NA,Two simple gaps in the SE.,Simple Gap (South east); Simple Gap (South east),No,No
118,"Shackleton Beacon Hill, County Durham",-1.0,1.0,NA,NA,NA,A simple causewayed entrance lies in the SE.  Damage has a occurred through the construction of the road.,Simple Gap (South east),No,No
119,"Tilberthwaite, Cumbria",0.0,0.0,NA,NA,NA,No entrances are recorded,NA,No,No
120,"Dunmallard, Cumbria (Dunmallet, Dunmalloght,  Dunmallock)",-1.0,1.0,NA,NA,NA,Narrow oblique gap in S-W corner,Simple Gap (South west),No,No
121,"Scarside Plantation, Cumbria",2.0,1.0,NA,NA,NA,"Single entrance in the E where the rampart widens on the northern side of the opening, turning slightly outwards in the S.  An oblique cut in the NW where the rampart meets the natural scarp is probably later.",Out-turned (East),No,No
122,"Kemp's Walk, Meikle Larbrax, Dumfries & Galloway (Kemp's Wark)",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (North east),No,No
123,"Dunskey Golf Course, Dumfries & Galloway (Portpatrick Post Office Radio Station; Fort Cottage)",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (North east),No,No
124,"Dounan Nose, Dally, Dumfries & Galloway",2.0,1.0,The break in the rampart is not original.,Not through the rampart,NA,See main summary,Other Forms (North),No,No
125,"Croglam Castle, Cumbria",0.0,1.0,Unknown,NA,NA,A simple gap to the NE.,Simple Gap (North east),No,No
127,"High Auchneel, Dumfries & Galloway",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (East),No,No
128,"Portobello, Dumfries & Galloway (Mains of Cairnbrock)",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (North east),No,No
129,"Mare Rock, Dumfries & Galloway (High Auchneel)",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (South east),No,No
130,"Juniper Face, Dumfries & Galloway (High Auchneel)",1.0,1.0,NA,Traces of a hollowed path that winds down the coastal escarpment may be the original access.,NA,See main summary,Simple Gap (North east),No,No
131,"Mare Rock, Dumfries & Galloway (High Auchneel)",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (East),No,No
132,"Fort Point, Larbrax Moor, Dumfries & Galloway (Salt Pans Bay, Galdenoch)",1.0,1.0,Only visible in the outer wall,NA,NA,See main summary,Simple Gap (East),No,No
133,"Dunskirloch, Dumfries & Galloway",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (South east),No,No
134,"Cassington Ring, Oxfordshire (Cassington Mill Big Ring)",3.0,2.0,"A simple gap to the S may be original, unknown",NA,NA,"Two probable entrances both simple gaps, NE 5m wide on aerial photograph, SE 6.5m wide verified by excavation",Simple Gap (North east); Simple Gap (South east),No,No
135,"Tadmarton Camp, Oxfordshire (Tadmarton Heath Camp)",4.0,1.0,"Road runs NE-SW through the site (existed in 1881, 1st Ed OS). Agricultural break through at NW. Also two small golf paths through ramparts.",Possible inturned entrance on E side,NA,Possible inturned entrance on E side,In-turned (East),No,No
136,"Madmarston Hill Camp, Oxfordshire (Madmarston Camp)",1.0,1.0,NA,NA,NA,"Appears to be an original entrance to the S, an oblique break through the inner rampart with an outwork bank running E-W",Outworks (South); Oblique (South),No,No
137,"Alfred's Castle, Oxfordshire",3.0,2.0,NA,NA,NA,NW entrance from small enclosure into the large enclosure is Iron Age. NE entrance unknown if original. SE entrance is Romano-British to provide access to farmhouse in the centre of the enclosure. No entrances for the large enclosure are known.,Simple Gap (North east); Simple Gap (North west),No,No
138,"Castle Grove Camp, Oxfordshire (Wyfold Castle)",4.0,1.0,at least 4,NA,NA,"Single verified entrance, at SW, oblique passageway, at least four other breaks all modern",Passage-way/Corridor (South west),No,No
139,"Bozedown Camp, Oxfordshire (Binditch)",3.0,1.0,Gaps at W and NW probably not original,NA,NA,"Original entrance is unknow but supposed to be at the head of a dry valley in the E, only short lengths of ramparts survive in this area",Simple Gap (East),No,No
140,"Blewburton Hill, Oxfordshire",-1.0,1.0,"Unknown, heavy tree cover over W half of site","Western entrance (excavated), three phases, cobbled surface, timber passageway replaced by stone-lined passage in late phase. Unusual horse burials in the inner passage way.",NA,"Western entrance (excavated), three phases, cobbled surface, timber passageway replaced by stone-lined passage in late phase. Unusual horse burials in the inner passage way.",Passage-way/Corridor (West),No,No
