References_Atlas_Number,References_Title_Name,References_Source,References_Citation
0049,"EN0049 Caer Caradoc, Clun, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0049,"EN0049 Caer Caradoc, Clun, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 362-63, Institute of Historical Research."
0049,"EN0049 Caer Caradoc, Clun, Shropshire",Watson 2002,"Watson, M. 2002. Shropshire an archaeological guide, 23-4, plan and aerial photo, Shrewsbury"
0050,"EN0050 Caer Caradoc, Church Stretton, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0050,"EN0050 Caer Caradoc, Church Stretton, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire,1, 361, Institute of Historical Research."
0050,"EN0050 Caer Caradoc, Church Stretton, Shropshire",Watson 2002,"Watson, M. 2002. Shropshire an archaeological guide, 24-25 photo, Shrewsbury"
0051,"EN0051 Caerbre, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 354-55, Institute of Historical Research."
0052,"EN0052 Caer-Din Ring, Shropshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0052,"EN0052 Caer-Din Ring, Shropshire",Guilbert 1976,"Guilbert, G.C. 1976. Caer-Din Ring, Salop, Arch Camb, CXXXV, 165-69."
0052,"EN0052 Caer-Din Ring, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 372-73, Institute of Historical Research."
0053,"EN0053 Calcot Camp, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 354, Institute of Historical Research."
0054,"EN0054 Callow Hill Camp, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0054,"EN0054 Callow Hill Camp, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 366, Institute of Historical Research."
0054,"EN0054 Callow Hill Camp, Shropshire",Reid 1998,"Reid, M.L 1998"
0055,"EN0055 Castle Idris, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0055,"EN0055 Castle Idris, Shropshire",Page 1908,"Page, W. ed. Salop 1908. Victoria County History of Shropshire, 1, 373, Institute of Historical Research."
0056,"EN0056 Castle Ring, Gorsty Bank, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0057,"EN0057 Castle Ring, Horderley, Shropshire",Page 1908,"Page, W. ed. Salop 1908. Victoria County History of Shropshire, 1, 355-56, Institute of Historical Research."
0058,"EN0058 Castle Hill, Oak Hill, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0058,"EN0058 Castle Hill, Oak Hill, Shropshire",Page 1908,"Page, W. ed. Salop 1908. Victoria County History of Shropshire, 1, 358, Institute of Historical Research."
0059,"EN0059 Castle Ring, Stitt Hill, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0059,"EN0059 Castle Ring, Stitt Hill, Shropshire",Guilbert 1975,"Guilbert, G.C. 1975. Ratlinghope/Stitt Hill, Shropshire"
0059,"EN0059 Castle Ring, Stitt Hill, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 358, Institute of Historical Research."
0060,"EN0060 Caus Castle, Shropshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0061,"EN0061 Caynham Camp, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0061,"EN0061 Caynham Camp, Shropshire",Gelling 1959,"Gelling, P.S. 1959. Excavations at Caynham Camp near Ludlow, First Interim Report, Trans Woolhope Natur Fld Club, 56, 2, 145-48."
0061,"EN0061 Caynham Camp, Shropshire",Gelling 1961,"Gelling, P.S. 1961. Excavations at Caynham Camp, Trans Shropshire Archaeol Hist Soc, 56, 1957-60, 218-27."
0061,"EN0061 Caynham Camp, Shropshire",Gelling 1966,"Gelling, P.S. 1966. Excavations at Caynham Camp near Ludlow, Trans Shropshire Archaeol Hist Soc, 57, 1961-64, 91-100."
0062,"EN0062 Chesterton Walls, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0062,"EN0062 Chesterton Walls, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 377-78, Institute of Historical Research."
0063,"EN0063 Clee Burf, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0063,"EN0063 Clee Burf, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 371, Institute of Historical Research."
0063,"EN0063 Clee Burf, Shropshire",Rowley 2001,"Rowley, T. 2001. The Welsh border, 200, Stroud"
0064,"EN0064 Coed y Gaer, Oswestry, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0064,"EN0064 Coed y Gaer, Oswestry, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 376, Institute of Historical Research."
0065,"EN0065 Colstey Bank, Shropshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0066,"EN0066 Earl's Hill, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0066,"EN0066 Earl's Hill, Shropshire",Page 1908,"Page, W. ed. Salop 1908. Victoria County History of Shropshire, 1, 345, Institute of Historical Research."
0066,"EN0066 Earl's Hill, Shropshire",Watson 2002,Watson 2002
0067,"EN0067 Ebury Hill, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0067,"EN0067 Ebury Hill, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 381, Institute of Historical Research."
0067,"EN0067 Ebury Hill, Shropshire",Stanford 1985,"Stanford, S.C. 1985"
0068,"EN0068 Fron Camp, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0068,"EN0068 Fron Camp, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 354-55, Institute of Historical Research."
0069,"EN0069 Haughmond Hill Camp, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0070,"EN0070 Knowle, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0071,"WA0071 Llanymynech Hill, Powys",Barnwell 1870,"Barnwell, E. L. 1870. The early antiquities of the county of Montgomeryshire, The Montgomeryshire Collections, 3, 415-52."
0071,"WA0071 Llanymynech Hill, Powys",Fox and Hemp 1926,"Fox, C. and Hemp, W. J. 1926. Llanymynech and Blodwell Hillforts, Arch Camb, 81, 395-400."
0071,"WA0071 Llanymynech Hill, Powys",Jones et al. 2003,"Jones, N. W., Silvester, R. J. and Britnell, W. J. 2003. Montgomery Canal Conservation Management Strategy. Landscape Archaeology Assessment, Unpublished report, Welshpool"
0071,"WA0071 Llanymynech Hill, Powys",Jones et al. 2012,"Jones, N. W., Hankinson, R. and Silvester, R. J. 2012. Llanymynech Hill"
0071,"WA0071 Llanymynech Hill, Powys",Musson 1981,"Musson, C. R. 1981. Llanymynech Hillfort, Arch in Wales, 21, 31."
0071,"WA0071 Llanymynech Hill, Powys",Musson 2012,"Musson, C. 2012. Montgomeryshire hillforts and enclosures from the air, in Britnell, W.J. and Silvester, R.J. (eds) Reflections on the past. Essays in honour of Frances Lynch. Cambrian Archaeological Association, 351-368."
0071,"WA0071 Llanymynech Hill, Powys",Musson and Northover 1989,"Musson, C. R. and Northover, J. P. 1989. Llanymynech Hillfort, Powys and Shropshire"
0071,"WA0071 Llanymynech Hill, Powys",RCAHMCWM 1911,"Royal Commission on the Ancient and Historical Monuments and Constructions in Wales and Monmouthshire, 1911. An Inventory of the Ancient Monuments in Wales and Monmouthshire, I, County of Montgomery, London"
0073,"EN0073 Nordy Bank, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0073,"EN0073 Nordy Bank, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 371, Institute of Historical Research."
0074,"EN0074 Norton Camp, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0074,"EN0074 Norton Camp, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 373-74, Institute of Historical Research."
0075,"EN0075 Old Oswestry, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0075,"EN0075 Old Oswestry, Shropshire",Hughes 1994,"Hughes, G 1994. Old Oswestry Hillfort. Excavations by W.J. Varley 1939-40, Arch Camb, 143, 46-91;"
0075,"EN0075 Old Oswestry, Shropshire",Smith 2010,"Smith, N. 2010. Old Oswestry. Selattyn and Gobowen, Shropshire"
0075,"EN0075 Old Oswestry, Shropshire",Varley 1948,"Varley, W.J. 1948. The hillforts of the Welsh Marches, Archaeol J, 105, 41-6."
0075,"EN0075 Old Oswestry, Shropshire",Watson 2002,Watson 2002
0076,"EN0076 Nesscliffe Hill Camp, Shropshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0076,"EN0076 Nesscliffe Hill Camp, Shropshire",Hume and Jones 1959,"Hume, C.R. and Jones, G.W. 1959. Excavations at Nesscliffe Hill Trans Shropshire Archaeol Soc, 56, 129-32."
0076,"EN0076 Nesscliffe Hill Camp, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 355-56, Institute of Historical Research."
0077,"EN0077 Pave Lane, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0077,"EN0077 Pave Lane, Shropshire",Smith 1990,"Smith, G.H. 1990"
0078,"EN0078 Pontesford Hill Camp, Shropshire",Barker 1972,"Barker, P. 1972. The emergency excavation at Pontesford Hill Camp 1963. In Lynch, F. and Burgess, C. (eds.) Prehistoric man in Wales and the west, 345-53, plan, Bath"
0078,"EN0078 Pontesford Hill Camp, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0079,"EN0079 Radnor Wood, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0079,"EN0079 Radnor Wood, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 372-73, Institute of Historical Research."
0080,"EN0080 Ratlinghope Hill Camp, Shropshire",Cunliffe 1991,"Cunliffe, B. 1991. Iron Age communiies in Britain, London"
0080,"EN0080 Ratlinghope Hill Camp, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0080,"EN0080 Ratlinghope Hill Camp, Shropshire",Guilbert 1975,"Guilbert, G.C. 1975. Ratlinghope/Stitt Hill, Shropshire"
0080,"EN0080 Ratlinghope Hill Camp, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 357 Institute of Historical Research."
0081,"EN0081 Robury Ring, Shropshire",Hughes and Jones 1990,"Hughes, E.G. and Jones, L. 1990. Archaeological field survey and excavation Robury Ring, Shropshire, Birmingham University Field Archaeology Unit Archaeological Evaluation Report, Birmingham"
0082,"EN0082 Roveries House, Shropshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0082,"EN0082 Roveries House, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 365, Institute of Historical Research."
0083,"EN0083 Roveries Hill Camp, Shropshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0083,"EN0083 Roveries Hill Camp, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 366, Institute of Historical Research."
0084,"EN0084 The Berth, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0084,"EN0084 The Berth, Shropshire",Gelling and Stanford 1967,"Gelling and Stanford 1967. Dark Age pottery and Iron Age ovens, Trans Birmingham Archaeol Soc, 32, 77."
0084,"EN0084 The Berth, Shropshire",Morris and Gelling 1991,"Morris, E.L and Gelling, P. 1991"
0084,"EN0084 The Berth, Shropshire",Watson 2002,"Watson, M. 2002"
0085,"EN0085 The Burgs, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0085,"EN0085 The Burgs, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 375, Institute of Historical Research."
0086,"EN0086 The Ditches, Mogg Forest, Shropshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0086,"EN0086 The Ditches, Mogg Forest, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 337, Institute of Historical Research."
0087,"EN0087 Upper Knuck Camp, Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0087,"EN0087 Upper Knuck Camp, Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 356, Institute of Historical Research."
0088,"EN0088 The Lawley (North End), Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0088,"EN0088 The Lawley (North End), Shropshire",Page 1908,"Page, W. ed. 1908. Victoria County History of Shropshire, 1, 360, Institute of Historical Research."
0089,"EN0089 The Lawley (Summit), Shropshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0089,"EN0089 The Lawley (Summit), Shropshire",Guilbert 1975,"Guilbert, G.C. 1975. Planned hillfort interiors, Proc Prehist Soc, 41, 203-21."
